"FullName","DirectoryName","Name","Length","LastWriteTime"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\launch.json","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude","launch.json","182","4/15/2026 2:31:39 PM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\settings.local.json","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude","settings.local.json","614","4/16/2026 6:12:50 PM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\.claude\settings.local.json","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\.claude","settings.local.json","703","2/22/2026 12:06:45 PM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\.git","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha",".git","92","2/22/2026 2:19:53 AM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\.claude\settings.local.json","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\.claude","settings.local.json","614","2/22/2026 2:19:53 AM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\.gitignore","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1",".gitignore","277","2/22/2026 2:19:53 AM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\docs\plans\2026-02-19-riskradar-demo-design.md","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\docs\plans","2026-02-19-riskradar-demo-design.md","4372","2/22/2026 2:19:53 AM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\docs\plans\2026-02-19-riskradar-implementation.md","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\docs\plans","2026-02-19-riskradar-implementation.md","53659","2/22/2026 2:19:53 AM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\eslint.config.js","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1","eslint.config.js","639","2/22/2026 2:19:53 AM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\extract_pdfs.js","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1","extract_pdfs.js","1072","2/22/2026 2:19:53 AM"
"C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1\extract_pdfs.py","C:\Users\NeroS\OneDrive - ESTGV\Documentos\Umain Works\Tarefa 1\.claude\worktrees\admiring-saha\Tarefa 1","extract_pdfs.py","1233","2/22/2026 2:19:53 AM"
